"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2015","WEEK #51","2015-12-20","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","30",""
"SURVEY","2015","WEEK #52","2015-12-27","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","28",""
"SURVEY","2014","WEEK #20","2014-05-18","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","33",""
"SURVEY","2014","WEEK #21","2014-05-25","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","32",""
"SURVEY","2014","WEEK #22","2014-06-01","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","28",""
"SURVEY","2014","WEEK #23","2014-06-08","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","25",""
"SURVEY","2014","WEEK #24","2014-06-15","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","28",""
"SURVEY","2014","WEEK #25","2014-06-22","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","23",""
"SURVEY","2014","WEEK #26","2014-06-29","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","19",""
"SURVEY","2014","WEEK #27","2014-07-06","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","15",""
"SURVEY","2014","WEEK #28","2014-07-13","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","15",""
"SURVEY","2014","WEEK #29","2014-07-20","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","15",""
"SURVEY","2014","WEEK #30","2014-07-27","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","15",""
"SURVEY","2014","WEEK #31","2014-08-03","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","18",""
"SURVEY","2014","WEEK #32","2014-08-10","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","18",""
"SURVEY","2014","WEEK #33","2014-08-17","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","17",""
"SURVEY","2014","WEEK #34","2014-08-24","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","14",""
"SURVEY","2014","WEEK #35","2014-08-31","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","10",""
"SURVEY","2014","WEEK #36","2014-09-07","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","10",""
"SURVEY","2014","WEEK #37","2014-09-14","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","11",""
"SURVEY","2014","WEEK #38","2014-09-21","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","12",""
"SURVEY","2014","WEEK #39","2014-09-28","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","12",""
"SURVEY","2014","WEEK #40","2014-10-05","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","15",""
"SURVEY","2014","WEEK #41","2014-10-12","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","18",""
"SURVEY","2014","WEEK #42","2014-10-19","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","19",""
"SURVEY","2014","WEEK #43","2014-10-26","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","23",""
"SURVEY","2014","WEEK #44","2014-11-02","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","29",""
"SURVEY","2014","WEEK #45","2014-11-09","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","32",""
"SURVEY","2014","WEEK #46","2014-11-16","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","31",""
"SURVEY","2014","WEEK #47","2014-11-23","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","30",""
"SURVEY","2014","WEEK #48","2014-11-30","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","30",""
"SURVEY","2014","WEEK #49","2014-12-07","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","32",""
"SURVEY","2014","WEEK #50","2014-12-14","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","30",""
"SURVEY","2014","WEEK #51","2014-12-21","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","30",""
"SURVEY","2014","WEEK #52","2014-12-28","STATE","FLORIDA","12","","","","","","","00000000","","SOIL","SOIL, SUBSOIL - MOISTURE, 5 YEAR AVG, MEASURED IN PCT SHORT","TOTAL","NOT SPECIFIED","29",""
